0 39 Jay 11
1 77 Yasmin 20
2 28 Keith 15
3 1 Angelita 13
4 28 Priscilla 18
5 6 Regina 10
6 30 Brandon 10
7 46 George 10
8 70 Richard 12
9 63 Tina 21
10 38 John 13
11 45 Keith 13
12 95 Samuel 14
13 36 Cynthia 12
14 21 Jason 20
15 35 Emily 19
16 1 William 21
17 46 Kim 17
18 71 Michael 21
19 84 Ralph 18
20 9 Kurt 22
21 15 Ella 16
22 74 Timothy 18
23 7 Ron 16
24 39 Brian 23
25 27 Robert 11
26 67 Michael 10
27 71 Maurice 12
28 75 Katie 13
29 63 Alexis 18
30 99 Holly 18
31 44 Earl 15
32 23 David 12
33 3 Dana 11
34 49 Stephen 19
35 16 Wendi 20
36 2 Victor 11
37 69 Tammi 21
38 87 Callie 14
39 62 Migdalia 15
40 19 Johnny 23
41 30 Maria 14
42 35 Marlene 22
43 23 Michael 23
44 66 Marcia 16
45 34 Sandra 22
46 27 Arthur 12
47 95 Melody 23
48 64 Louis 19
49 9 Antonia 11
50 46 Gordon 15
51 34 Nora 15
52 67 Maria 24
53 9 Mary 23
54 23 Holly 10
55 11 Eileen 12
56 86 Joyce 18
57 23 Mark 16
58 41 Samuel 17
59 86 Mildred 15
60 65 Ronald 17
61 25 Catherine 17
62 31 Amber 16
63 73 Anna 18
64 39 Wilma 24
65 6 Saundra 20
66 39 Rolland 16
67 34 Philip 23
68 38 Gwendolyn 21
69 55 Harold 12
70 64 Lynda 10
71 59 Bryan 18
72 54 Alisha 16
73 47 Kathrine 24
74 42 Paul 21
75 89 Sarah 21
76 38 Kimberly 17
77 87 Lynn 12
78 95 Ronald 19
79 74 Thomas 17
80 97 Henry 11
81 53 Martha 13
82 44 Stacey 11
83 39 Mary 10
84 22 Billy 24
85 90 Jermaine 14
86 77 Matthew 18
87 69 Deanna 19
88 31 Bart 20
89 49 Carlton 17
90 42 Elizabeth 21
91 55 Michael 19
92 94 Mirta 18
93 92 Debra 20
94 3 Jennifer 19
95 31 Lisa 12
96 93 Teresa 12
97 55 Joseph 14
98 68 Judith 15
99 76 David 21
